INFO 2019-05-10 21:08:11,325 basehttp 154 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2019-05-10 21:08:11,341 basehttp 154 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2019-05-10 21:08:11,358 basehttp 154 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2019-05-10 21:08:11,404 basehttp 154 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2019-05-10 21:08:11,405 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
INFO 2019-05-10 21:08:11,437 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2019-05-10 21:08:11,444 basehttp 154 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2019-05-10 21:08:11,524 basehttp 154 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2019-05-10 21:08:11,527 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2019-05-10 21:08:11,852 basehttp 154 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
INFO 2019-05-10 21:08:17,839 basehttp 154 "POST /xadmin/ HTTP/1.1" 302 0
WARNING 2019-05-10 21:08:18,932 log 228 Forbidden (CSRF token missing or incorrect.): /xadmin/
WARNING 2019-05-10 21:08:18,950 basehttp 154 "POST /xadmin/ HTTP/1.1" 403 2508
INFO 2019-05-10 21:08:21,717 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 12051
ERROR 2019-05-10 21:08:21,729 basehttp 154 "GET /xadmin/ HTTP/1.1" 500 59
INFO 2019-05-10 21:08:40,931 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 12051
INFO 2019-05-10 21:08:41,235 basehttp 154 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2019-05-10 21:08:41,280 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:08:41,358 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2019-05-10 21:08:41,359 basehttp 154 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2019-05-10 21:09:55,607 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 200 21257
INFO 2019-05-10 21:09:56,035 basehttp 154 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2019-05-10 21:09:56,187 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:09:56,253 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2019-05-10 21:09:56,268 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2019-05-10 21:09:56,281 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2019-05-10 21:09:56,298 basehttp 154 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2019-05-10 21:09:56,302 basehttp 154 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2019-05-10 21:09:58,490 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 200 21257
